event_id,ticker,catalyst_type,catalyst_date,indication_text,is_cns,status
1000534,VNDA,Phase3,2027-06-30,Bysanti™ (milsaperidone),0,upcoming
1000535,BMEA,Phase2,2027-06-30,Icovamenib + GLP-1 based therapy,0,upcoming
1000536,XNCR,Phase1,2027-12-31,XmAb541 (CLDN6 x CD3),0,upcoming
1000537,CHRS,Phase1/2,2026-08-15,Toripalimab +/- CHS-006 (anti-TIGIT) (anti-PD-1),0,upcoming
1000538,CLYM,Phase1,2026-09-03,CLYM116 (Anti-APRIL Antibody),0,upcoming
1000539,GENB,Phase1,2026-09-08,GB-0895,0,upcoming
1000540,ACET,Phase1,2026-09-30,ADI-001 (allogeneic CAR gamma-delta T cell therapy),0,upcoming
1000541,RXRX,Phase2,2026-11-02,REC-4881 ,0,upcoming
1000542,SRPT,Phase1/2,2026-12-31,SRP-1003,0,upcoming
1000543,SRPT,Phase1/2,2026-12-31,SRP-1001,0,upcoming
1000544,DTIL,Phase1/2,2026-12-31,PBGENE-DMD,0,upcoming
1000545,CGEM,Phase1/2,2026-12-31,Velinotamig (BCMAxCD3) (T Cell Engager),0,upcoming
1000546,ROIV,Phase3,2028-12-31,Brepocitinib ,0,upcoming
1000547,IMVT,Phase2,2028-12-31,IMVT-1402 (FcRn Inhibitor),0,upcoming
1000548,ZLAB,Phase2/3,2026-09-30,VYVGART/Efgartigimod Alfa (FcRn Blocker),0,upcoming
1000549,IOVA,Phase2,2026-10-23,Amtagvi/Lifileucel (LN-144) (TIL Therapy),0,upcoming
1000550,ORIC,Phase1,2026-10-31,Enozertinib (ORIC-114),0,upcoming
1000551,ZLAB,PDUFA,2026-11-30,Povetacicept (Pove) (APRIL/BAFF Inhibitor),0,upcoming
